date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:15	94098/94098	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Feb%202020%2018:02:07%20GMT	http://tazkarty.itgeeks.info/index-default.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/index-default.html	(from )
09:07:16	746/746	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2009%20May%202020%2003:37:15%20GMT	http://tazkarty.itgeeks.info/robots.txt		(from )
09:07:18	70038/70038	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/css/css-assets.css	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/css/css-assets.css	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:22	191641/191641	---M--	200	added ('OK')	text/css	date:Sat,%2029%20Feb%202020%2018:02:07%20GMT	http://tazkarty.itgeeks.info/css/style.css	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/css/style.css	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:23	1059/1059	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/general-elements/favicon/favicon.png	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/general-elements/favicon/favicon.png	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:23	1076/1076	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/general-elements/favicon/apple-touch-icon.png	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/general-elements/favicon/apple-touch-icon.png	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:23	1100/1100	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/general-elements/favicon/apple-touch-icon-72x72.png	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/general-elements/favicon/apple-touch-icon-72x72.png	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:24	1167/1167	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/general-elements/favicon/apple-touch-icon-114x114.png	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/general-elements/favicon/apple-touch-icon-114x114.png	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:24	11958/11958	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/logo-header.png	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/logo-header.png	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:24	23071/23071	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Feb%202020%2018:02:07%20GMT	http://tazkarty.itgeeks.info/index.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/index.html	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:25	53419/53419	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Feb%202020%2011:38:13%20GMT	http://tazkarty.itgeeks.info/search.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/search.html	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:26	61227/61227	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Feb%202020%2011:38:13%20GMT	http://tazkarty.itgeeks.info/login.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/login.html	(from http://tazkarty.itgeeks.info/index-default.html)
09:07:27	61043/61043	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Feb%202020%2011:38:13%20GMT	http://tazkarty.itgeeks.info/register.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/register.html	(from http://tazkarty.itgeeks.info/index-default.html)
